"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"USGS","0143400680",2003-02-26,"10:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0590126 1978 and 2331 in one fcc bottle.","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD062A",20030303,NA,"USGSNWQL","EST","EST",2003-02-26 15:15:00,NA,"UTC"
"USGS","0143400680",2003-03-03,"12:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0640063 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD066A",20030307,NA,"USGSNWQL","EST","EST",2003-03-03 17:45:00,NA,"UTC"
"USGS","0143400680",2003-03-11,"14:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0730046 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD076A",20030317,NA,"USGSNWQL","EST","EST",2003-03-11 19:00:00,NA,"UTC"
"USGS","0143400680",2003-03-17,"14:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0830162 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD084A",20030326,NA,"USGSNWQL","EST","EST",2003-03-17 19:45:00,NA,"UTC"
"USGS","0143400680",2003-03-18,"15:05",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850138 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD090A",20030402,NA,"USGSNWQL","EST","EST",2003-03-18 20:05:00,NA,"UTC"
"USGS","0143400680",2003-03-18,"21:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850031 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085A",20030327,NA,"USGSNWQL","EST","EST",2003-03-19 02:45:00,NA,"UTC"
"USGS","0143400680",2003-03-20,"10:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850116 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085C",20030327,NA,"USGSNWQL","EST","EST",2003-03-20 15:45:00,NA,"UTC"
"USGS","0143400680",2003-03-20,"21:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850105 1978 and 2331 in one fcc bottle","00666","E",0.002,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085C",20030327,NA,"USGSNWQL","EST","EST",2003-03-21 02:00:00,NA,"UTC"
"USGS","0143400680",2003-03-20,"22:35",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850110 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085C",20030327,NA,"USGSNWQL","EST","EST",2003-03-21 03:35:00,NA,"UTC"
"USGS","0143400680",2003-03-20,"23:55",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850026 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085A",20030327,NA,"USGSNWQL","EST","EST",2003-03-21 04:55:00,NA,"UTC"
"USGS","0143400680",2003-03-21,"03:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850021 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085A",20030327,NA,"USGSNWQL","EST","EST",2003-03-21 08:15:00,NA,"UTC"
"USGS","0143400680",2003-03-21,"08:05",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0850023 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085A",20030327,NA,"USGSNWQL","EST","EST",2003-03-21 13:05:00,NA,"UTC"
"USGS","0143400680",2003-03-22,"10:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-0850073 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD085B",20030327,NA,"USGSNWQL","EST","EST",2003-03-22 15:00:00,NA,"UTC"
"USGS","0143400680",2003-03-27,"12:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0920113 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD093A",20030404,NA,"USGSNWQL","EST","EST",2003-03-27 17:15:00,NA,"UTC"
