Name,Code,Latitude,Longitude,Miles from the mouth,Type
Glen Eldridge Creek Mouth,GEM,42.4257,-76.8692,0.05,SYNOPTIC
Tug Hollow Creek - CR5,,42.4236,-76.8528,,BIOLOGICAL
Tug Hollow Creek - Glen Eldridge,,42.425821,-76.868772,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
