Name,Code,Latitude,Longitude,Miles from the mouth,Type
Bridge at Route 14,KC14,42.7651,-76.9765,0.3,SYNOPTIC
Bridge at Bellona,KCB,42.7578,-77.0151,3.63,SYNOPTIC
Bridge at Thistle Street,KCTS,42.7551,-77.0311,4.86,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
