Name,Code,Latitude,Longitude,Miles from the mouth,Type
Reeder Creek Mouth,RCM,42.786,-76.928,0.03,SYNOPTIC
Reeder Creek @ Rt. 96 A,RC96A,42.7895,-76.8983,1.69,SYNOPTIC
Reeder Creek @ Access Road,RCAR,42.7882,-76.8867,2.35,SYNOPTIC
Reeder Creek @ N. Patrol Rd,RCNP,42.7867,-76.8868,2.47,SYNOPTIC
Reeder Creek - E. Lake Rd,,42.786247,-76.926965,,BIOLOGICAL
Kendig Creek @ Secor Rd.,KENDIG,42.7869,-76.8562,,INVESTIGATIVE
Reeder Creek - Cool Property,,42.79009,-76.891793,,BIOLOGICAL
Reeder Creek - 96A,,42.789525,-76.897984,,
,,,,,
